record_id,pmid,in_core,in_supplement,metadata_exported,screening_status
R-1448602,1448602,True,False,True,Not human-screened
R-1453151,1453151,True,False,True,Not human-screened
R-1453518,1453518,True,False,True,Not human-screened
R-1453530,1453530,True,False,True,Not human-screened
R-1456337,1456337,True,False,True,Not human-screened
R-1456961,1456961,True,False,True,Not human-screened
R-1459553,1459553,True,False,True,Not human-screened
R-1462057,1462057,True,False,True,Not human-screened
R-1462274,1462274,True,False,True,Not human-screened
R-1464538,1464538,True,False,True,Not human-screened
R-1464539,1464539,True,False,True,Not human-screened
R-1464540,1464540,True,False,True,Not human-screened
R-1464709,1464709,True,False,True,Not human-screened
R-1464710,1464710,True,False,True,Not human-screened
R-1466852,1466852,False,True,True,Not human-screened
R-1468968,1468968,True,False,True,Not human-screened
R-1469013,1469013,True,False,True,Not human-screened
R-1469925,1469925,True,True,True,Not human-screened
R-1472189,1472189,True,False,True,Not human-screened
R-1472875,1472875,True,False,True,Not human-screened
R-1473863,1473863,True,False,True,Not human-screened
R-1473864,1473864,True,False,True,Not human-screened
R-1473866,1473866,True,False,True,Not human-screened
R-1478496,1478496,True,False,True,Not human-screened
R-1483636,1483636,True,False,True,Not human-screened
R-1484613,1484613,True,False,True,Not human-screened
R-1486096,1486096,False,True,True,Not human-screened
R-1487259,1487259,False,True,True,Not human-screened
R-1488655,1488655,True,False,True,Not human-screened
R-1490455,1490455,True,False,True,Not human-screened
R-1490707,1490707,True,False,True,Not human-screened
R-1494967,1494967,False,True,True,Not human-screened
R-1495460,1495460,True,False,True,Not human-screened
R-1496152,1496152,True,False,True,Not human-screened
R-1496485,1496485,True,False,True,Not human-screened
R-1496489,1496489,True,False,True,Not human-screened
R-1497779,1497779,True,False,True,Not human-screened
R-1499484,1499484,True,False,True,Not human-screened
R-1500049,1500049,True,False,True,Not human-screened
R-1500288,1500288,True,False,True,Not human-screened
R-1500289,1500289,True,False,True,Not human-screened
R-1500292,1500292,True,False,True,Not human-screened
R-1500908,1500908,True,False,True,Not human-screened
R-1503044,1503044,True,False,True,Not human-screened
R-1505158,1505158,True,False,True,Not human-screened
R-1506908,1506908,True,False,True,Not human-screened
R-1506947,1506947,True,False,True,Not human-screened
R-1507214,1507214,True,False,True,Not human-screened
R-1507381,1507381,True,False,True,Not human-screened
R-1508243,1508243,True,False,True,Not human-screened
R-1508283,1508283,True,False,True,Not human-screened
R-1509045,1509045,True,False,True,Not human-screened
R-1511909,1511909,True,False,True,Not human-screened
R-1511968,1511968,True,False,True,Not human-screened
R-1512745,1512745,False,True,True,Not human-screened
R-1512912,1512912,True,True,True,Not human-screened
R-1513380,1513380,True,False,True,Not human-screened
R-1513497,1513497,True,False,True,Not human-screened
R-1513735,1513735,False,True,True,Not human-screened
R-1518314,1518314,True,False,True,Not human-screened
R-1518317,1518317,False,True,True,Not human-screened
R-1518614,1518614,True,False,True,Not human-screened
R-1518993,1518993,True,False,True,Not human-screened
R-1524521,1524521,True,False,True,Not human-screened
R-1527880,1527880,True,False,True,Not human-screened
R-1528135,1528135,True,False,True,Not human-screened
R-1528223,1528223,True,False,True,Not human-screened
R-1528224,1528224,True,False,True,Not human-screened
R-1530737,1530737,True,False,True,Not human-screened
R-1532732,1532732,True,False,True,Not human-screened
R-1533385,1533385,True,False,True,Not human-screened
R-1533706,1533706,False,True,True,Not human-screened
R-1534165,1534165,False,True,True,Not human-screened
R-1535870,1535870,True,False,True,Not human-screened
R-1536487,1536487,False,True,True,Not human-screened
R-1538039,1538039,True,False,True,Not human-screened
R-1538537,1538537,True,False,True,Not human-screened
R-1540264,1540264,True,False,True,Not human-screened
R-1540371,1540371,True,False,True,Not human-screened
R-1540419,1540419,True,False,True,Not human-screened
R-1541452,1541452,True,False,True,Not human-screened
R-1542360,1542360,True,False,True,Not human-screened
R-1542448,1542448,True,False,True,Not human-screened
R-1543314,1543314,True,False,True,Not human-screened
R-1544533,1544533,True,False,True,Not human-screened
R-1545182,1545182,True,False,True,Not human-screened
R-1545468,1545468,True,False,True,Not human-screened
R-1546999,1546999,True,False,True,Not human-screened
R-1548124,1548124,True,False,True,Not human-screened
R-1548533,1548533,True,False,True,Not human-screened
R-1548721,1548721,True,False,True,Not human-screened
R-1548956,1548956,True,False,True,Not human-screened
R-1549391,1549391,True,False,True,Not human-screened
R-1549392,1549392,True,False,True,Not human-screened
R-1550829,1550829,True,False,True,Not human-screened
R-1552631,1552631,True,False,True,Not human-screened
R-1553133,1553133,True,False,True,Not human-screened
R-1555785,1555785,True,False,True,Not human-screened
R-1556057,1556057,True,False,True,Not human-screened
R-1556344,1556344,False,True,True,Not human-screened
R-1556360,1556360,True,False,True,Not human-screened
R-1556373,1556373,True,False,True,Not human-screened
R-1556533,1556533,True,False,True,Not human-screened
R-1556797,1556797,True,False,True,Not human-screened
R-1556880,1556880,False,True,True,Not human-screened
R-1556881,1556881,True,False,True,Not human-screened
R-1558411,1558411,False,True,True,Not human-screened
R-1558431,1558431,True,False,True,Not human-screened
R-1558636,1558636,True,False,True,Not human-screened
R-1558637,1558637,True,False,True,Not human-screened
R-1559325,1559325,True,False,True,Not human-screened
R-1559412,1559412,True,False,True,Not human-screened
R-1559418,1559418,True,False,True,Not human-screened
R-1559419,1559419,True,False,True,Not human-screened
R-1559421,1559421,True,False,True,Not human-screened
R-1559425,1559425,True,False,True,Not human-screened
R-1559721,1559721,True,False,True,Not human-screened
R-1559722,1559722,True,False,True,Not human-screened
R-1559724,1559724,True,False,True,Not human-screened
R-1559727,1559727,True,False,True,Not human-screened
R-1559728,1559728,True,False,True,Not human-screened
R-1560658,1560658,True,False,True,Not human-screened
R-1560659,1560659,True,False,True,Not human-screened
R-1560661,1560661,True,False,True,Not human-screened
R-1560984,1560984,True,False,True,Not human-screened
R-1561364,1561364,True,False,True,Not human-screened
R-1561784,1561784,False,True,True,Not human-screened
R-1562938,1562938,True,False,True,Not human-screened
R-1563287,1563287,True,False,True,Not human-screened
R-1563523,1563523,True,False,True,Not human-screened
R-1563954,1563954,True,False,True,Not human-screened
R-1563955,1563955,True,True,True,Not human-screened
R-1564582,1564582,False,True,True,Not human-screened
R-1564905,1564905,True,False,True,Not human-screened
R-1566123,1566123,False,True,True,Not human-screened
R-1572819,1572819,True,False,True,Not human-screened
R-1572858,1572858,False,True,True,Not human-screened
R-1574196,1574196,True,False,True,Not human-screened
R-1574347,1574347,True,False,True,Not human-screened
R-1574779,1574779,True,False,True,Not human-screened
R-1574781,1574781,True,False,True,Not human-screened
R-1574787,1574787,True,False,True,Not human-screened
R-1575628,1575628,True,False,True,Not human-screened
R-1575805,1575805,True,False,True,Not human-screened
R-1575806,1575806,True,False,True,Not human-screened
R-1576575,1576575,True,False,True,Not human-screened
R-1577378,1577378,True,False,True,Not human-screened
R-1579275,1579275,True,False,True,Not human-screened
R-1579952,1579952,True,False,True,Not human-screened
R-1580078,1580078,True,False,True,Not human-screened
R-1580833,1580833,True,False,True,Not human-screened
R-1583916,1583916,True,False,True,Not human-screened
R-1583921,1583921,True,False,True,Not human-screened
R-1585467,1585467,True,False,True,Not human-screened
R-1585925,1585925,True,False,True,Not human-screened
R-1587985,1587985,True,False,True,Not human-screened
R-1588490,1588490,False,True,True,Not human-screened
R-1590115,1590115,True,False,True,Not human-screened
R-1592272,1592272,True,False,True,Not human-screened
R-1592605,1592605,True,False,True,Not human-screened
R-1593038,1593038,True,False,True,Not human-screened
R-1593521,1593521,False,True,True,Not human-screened
R-1593916,1593916,True,False,True,Not human-screened
R-1595699,1595699,True,False,True,Not human-screened
R-1595713,1595713,True,False,True,Not human-screened
R-1595788,1595788,False,True,True,Not human-screened
R-1596220,1596220,True,False,True,Not human-screened
R-1597760,1597760,True,False,True,Not human-screened
R-1600680,1600680,True,False,True,Not human-screened
R-1601290,1601290,True,False,True,Not human-screened
R-1601291,1601291,True,False,True,Not human-screened
R-1605766,1605766,True,False,True,Not human-screened
R-1605992,1605992,True,False,True,Not human-screened
R-1606821,1606821,True,False,True,Not human-screened
R-1607165,1607165,True,False,True,Not human-screened
R-1607573,1607573,True,False,True,Not human-screened
R-1609179,1609179,True,False,True,Not human-screened
R-1610240,1610240,True,False,True,Not human-screened
R-1612722,1612722,True,False,True,Not human-screened
R-1613610,1613610,False,True,True,Not human-screened
R-1614232,1614232,True,False,True,Not human-screened
R-1614335,1614335,True,False,True,Not human-screened
R-1614380,1614380,True,False,True,Not human-screened
R-1614382,1614382,True,False,True,Not human-screened
R-1614471,1614471,True,False,True,Not human-screened
R-1614559,1614559,True,False,True,Not human-screened
R-1616410,1616410,True,False,True,Not human-screened
R-1618198,1618198,False,True,True,Not human-screened
R-1618398,1618398,True,False,True,Not human-screened
R-1619251,1619251,True,False,True,Not human-screened
R-1619253,1619253,True,False,True,Not human-screened
R-1619369,1619369,True,False,True,Not human-screened
R-1621191,1621191,True,False,True,Not human-screened
R-1621641,1621641,True,False,True,Not human-screened
R-1622470,1622470,True,False,True,Not human-screened
R-1625090,1625090,False,True,True,Not human-screened
R-1626551,1626551,True,False,True,Not human-screened
R-1626554,1626554,True,False,True,Not human-screened
R-1626555,1626555,True,False,True,Not human-screened
R-1627002,1627002,True,False,True,Not human-screened
R-1629920,1629920,False,True,True,Not human-screened
R-1630323,1630323,False,True,True,Not human-screened
R-1631602,1631602,True,False,True,Not human-screened
R-1631603,1631603,False,True,True,Not human-screened
R-1632151,1632151,True,False,True,Not human-screened
R-1632152,1632152,True,False,True,Not human-screened
R-1633665,1633665,True,False,True,Not human-screened
R-1638890,1638890,False,True,True,Not human-screened
R-1640217,1640217,True,False,True,Not human-screened
R-1640619,1640619,True,False,True,Not human-screened
R-1640766,1640766,True,False,True,Not human-screened
R-1641207,1641207,False,True,True,Not human-screened
R-1641432,1641432,True,False,True,Not human-screened
R-1641444,1641444,False,True,True,Not human-screened
R-1642488,1642488,False,True,True,Not human-screened
R-1642527,1642527,True,False,True,Not human-screened
R-1642703,1642703,False,True,True,Not human-screened
R-1644412,1644412,True,False,True,Not human-screened
R-1644504,1644504,True,False,True,Not human-screened
R-1644991,1644991,False,True,True,Not human-screened
R-1660445,1660445,True,True,True,Not human-screened
R-1661465,1661465,False,True,True,Not human-screened
R-1672699,1672699,True,False,True,Not human-screened
R-1675606,1675606,False,True,True,Not human-screened
R-1676076,1676076,False,True,True,Not human-screened
R-1677077,1677077,True,False,True,Not human-screened
R-1677623,1677623,False,True,True,Not human-screened
R-1692435,1692435,False,True,True,Not human-screened
R-1694548,1694548,True,False,True,Not human-screened
R-1717096,1717096,False,True,True,Not human-screened
R-1720521,1720521,True,False,True,Not human-screened
R-1722136,1722136,True,False,True,Not human-screened
R-1728098,1728098,True,False,True,Not human-screened
R-1729559,1729559,False,True,True,Not human-screened
R-1729586,1729586,True,False,True,Not human-screened
