RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
2724409,SBD,PALTUSOTINE 20 MG ORAL TABLET [PALSONIFY],PALSONIFY,PALTUSOTINE 20 MG,ORAL TABLET
2724413,SBD,PALTUSOTINE 30 MG ORAL TABLET [PALSONIFY],PALSONIFY,PALTUSOTINE 30 MG,ORAL TABLET
251872,SCD,PANTOPRAZOLE 20 MG DELAYED RELEASE ORAL TABLET,,PANTOPRAZOLE 20 MG,DELAYED RELEASE ORAL TABLET
352125,SBD,PANTOPRAZOLE 20 MG DELAYED RELEASE ORAL TABLET [PROTONIX],PROTONIX,PANTOPRAZOLE 20 MG,DELAYED RELEASE ORAL TABLET
284400,SBD,PANTOPRAZOLE 40 MG DELAYED RELEASE ORAL TABLET [PROTONIX],PROTONIX,PANTOPRAZOLE 40 MG,DELAYED RELEASE ORAL TABLET
314200,SCD,PANTOPRAZOLE 40 MG DELAYED RELEASE ORAL TABLET,,PANTOPRAZOLE 40 MG,DELAYED RELEASE ORAL TABLET
763308,SBD,PANTOPRAZOLE 40 MG ORAL GRANULES [PROTONIX],PROTONIX,PANTOPRAZOLE 40 MG,ORAL GRANULES
763306,SCD,PANTOPRAZOLE 40 MG ORAL GRANULES,,PANTOPRAZOLE 40 MG,ORAL GRANULES
577315,SCD,PARICALCITOL 0.001 MG ORAL CAPSULE,,PARICALCITOL 0.001 MG,ORAL CAPSULE
577317,SCD,PARICALCITOL 0.002 MG ORAL CAPSULE,,PARICALCITOL 0.002 MG,ORAL CAPSULE
577324,SCD,PARICALCITOL 0.004 MG ORAL CAPSULE,,PARICALCITOL 0.004 MG,ORAL CAPSULE
207347,SBD,PAROMOMYCIN 250 MG ORAL CAPSULE [HUMATIN],HUMATIN,PAROMOMYCIN 250 MG,ORAL CAPSULE
1738483,SCD,PAROXETINE HYDROCHLORIDE 10 MG ORAL TABLET,,PAROXETINE HYDROCHLORIDE 10 MG,ORAL TABLET
