Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spnd_Per_Dsg_Unt_Wghtd_2024,Avg_Spnd_Per_Clm_2024,Avg_Spnd_Per_Bene_2024,Outlier_Flag_2024,Chg_Avg_Spnd_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
Pindolol,Pindolol,6,Overall,3681447.9,3255247.5,35215,8101,1.1017991157,104.5420389,454.44363659,0,3547216,3039790.5,30400,6884,1.15672313,116.68473684,515.28413713,0,2861679.69,2690394,26669,6122,1.0572617953,107.30359931,467.44196178,0,2585839.4,2630800.5,25652,5745,0.9804650644,100.80459223,450.10259356,0,2163885.81,2666211,25781,5684,0.811753143,83.933354408,380.69771464,0,-0.172073363,-0.073532072
Pindolol,Pindolol,1,Nostrum Laborat,1080288.1,753127,7836,2744,1.4201657706,137.86218734,393.69099854,0,535649.79,458709.5,4870,1798,1.1498565355,109.98968994,297.91423248,0,534558.18,532127,5762,1544,0.9906300011,92.773026727,346.21643782,0,325907.61,336771.5,3611,1257,0.9543064697,90.254115204,259.27415274,0,17741.49,20639.5,269,124,0.8429373267,65.953494424,143.07653226,0,-0.116701654,-0.122263697
Pindolol,Pindolol,1,Mylan,908508.67,933428.5,10281,3824,0.9538918995,88.367733683,237.58071914,0,327972.72,328968.5,3174,1491,0.9868271445,103.3310397,219.96828974,0,210701.86,214486,2161,1075,0.972917424,97.502017584,196.00173023,0,39995.9,43800,581,253,0.9079687699,68.839759036,158.08656126,0,18537.03,23512,325,127,0.7898701685,57.037015385,145.96086614,0,-0.130069013,-0.046075204
Pindolol,Pindolol,1,Marlex Pharm.,,,,,,,,,,,,,,,,,,,,,,,,,910.05,840,14,,1.0833928571,65.003571429,,1,1621.59,1800,18,,0.9571489098,90.088333333,,1,-0.116526472,-0.116526472
Pindolol,Pindolol,1,Caraco/Sun Phar,286983.93,338429.5,4828,2627,0.8431558363,59.441576222,109.24397792,0,97491.15,111368.5,1092,500,0.8641423806,89.27760989,194.9823,0,261319.26,304980,2601,1047,0.8448844622,100.46876586,249.58859599,0,413345.34,528654.5,4883,1909,0.7748523782,84.649875077,216.52453641,0,626387.9,896375,8717,2437,0.6919426622,71.858196627,257.03237587,0,-0.10700066,-0.048211256
Pindolol,Pindolol,1,Bayshore Pharma,1332062.78,1150537.5,11033,4062,1.1470061283,120.73441312,327.93273757,0,2508766.9,2058057.5,20502,5873,1.2086175726,122.36693493,427.16957262,0,1376444.45,1113208,11328,2988,1.2215248638,121.50816119,460.65744645,0,1251228.96,1065604.5,10585,2670,1.1668199288,118.20774303,468.62507865,0,977983.62,999461.5,10240,2489,0.9731690079,95.506212891,392.92230615,0,-0.165964701,-0.040255498
Pindolol,Pindolol,1,Ani Pharmaceuti,73604.42,79725,1237,708,0.9206138005,59.50236055,103.9610452,0,77335.44,82686.5,762,530,0.9313274468,101.49007874,145.91592453,0,478655.94,525593,4817,1623,0.9031870573,99.368058958,294.92048059,0,554451.54,655130,5978,1795,0.841050302,92.748668451,308.88665181,0,521614.18,724423,6212,1967,0.7131690802,83.968799099,265.18260295,0,-0.152049433,-0.061836016
Pioglitazone HCl,Pioglitazone HCl,14,Overall,57392675.55,194966258.21,2788976,694126,0.2947685942,20.578404242,82.683368077,0,56007232.2,207772952.86,2886856,746948,0.2712252209,19.400771012,74.981434049,0,55565153.89,219290694.86,2997034,781173,0.2545831895,18.540047891,71.130407592,0,64955036.53,226926230.57,3073177,809827,0.2871364619,21.136119569,80.208534082,0,42374791.27,238358408.44,3217957,845927,0.1780020403,13.168227938,50.092728179,0,-0.38007859,-0.118472343
Pioglitazone HCl,Pioglitazone HCl,1,Teva USA,19103882.69,66883539.5,879884,328242,0.2857986425,21.711819615,58.200604097,0,17255134.4,74308802,944056,318945,0.2326211923,18.2776598,54.100658107,0,16096885.1,67853614.357,848147,309358,0.2375236657,18.978885854,52.033194875,0,14835510.47,54313231.357,680642,244740,0.2730707399,21.796348844,60.617432663,0,6936959.4,40926843.5,520744,206652,0.1692399746,13.321246908,33.568314848,0,-0.380233947,-0.122775611
Pioglitazone HCl,Pioglitazone HCl,1,Solco Healthcar,75266.49,273906,5397,2827,0.2753085585,13.945986659,26.624156349,0,11088.86,44145,826,268,0.252147176,13.424769976,41.376343284,0,7629.87,29204,519,168,0.2597520841,14.701098266,45.415892857,0,6396.44,23900,419,138,0.2696724548,15.265966587,46.351014493,0,4909.58,25477,447,140,0.1903024905,10.983400447,35.068428571,0,-0.294319879,-0.088186139
